product,product_group,product_type,franchise,gender,margin,yearly_targets,daily_targets,country,channel,rrp,sales_qty,discount,sales,cost price,profit,date,image_url
Product EYQ92,Group C,Type Y,Franchise B,M,0.2,300000,821.9178082,Country C,Channel Y,30,291,0.05,3668.5,973.75,194.75,16-08-2022,http://assets.myntassets.com/v1/images/style/properties/b461fc48013e9b45540fe64e99188c9d_images.jpg
Product PX4F2,Group A,Type X,Franchise B,M,0.1,300000,821.9178082,Country C,Channel Y,20,277,0.15,2959,417.2727273,41.72727273,19-07-2022,http://assets.myntassets.com/v1/images/style/properties/07a9e19374bc113284a2952742fee7e2_images.jpg
Product KSAPI,Group A,Type X,Franchise B,M,0.3,100000,273.9726027,Country C,Channel Y,20,323,0.1,3814,1010.769231,303.2307692,15-10-2022,http://assets.myntassets.com/v1/images/style/properties/9a933b7c4867f82d556204a319ae2050_images.jpg
Product UOI91,Group C,Type Y,Franchise B,M,0.3,300000,821.9178082,Country C,Channel Z,30,259,0.05,2756.5,197.3076923,59.19230769,30-09-2022,http://assets.myntassets.com/v1/images/style/properties/3f28c032ef1a67d98d477dcc4cae8683_images.jpg
Product KUHX1,Group C,Type Z,Franchise A,M,0.3,300000,821.9178082,Country B,Channel Y,20,338,0.05,4172,1286.153846,385.8461538,19-08-2022,http://assets.myntassets.com/v1/images/style/properties/871f555e1b7380855ec22d5e6381716c_images.jpg
Product 2DCUL,Group A,Type X,Franchise C,M,0.1,200000,547.9452055,Country B,Channel Y,30,274,0.15,3112,556.3636364,55.63636364,27-07-2022,http://assets.myntassets.com/v1/images/style/properties/3c513a8b1382419883ffb44a46e603d2_images.jpg
Product 0RC0S,Group C,Type Z,Franchise A,M,0.2,100000,273.9726027,Country A,Channel Y,30,285,0.1,3445,787.5,157.5,20-07-2022,http://assets.myntassets.com/v1/images/style/properties/730948b34fc665e785b1912e56a573c1_images.jpg
Product 3RP7X,Group A,Type Z,Franchise A,M,0.1,300000,821.9178082,Country C,Channel X,30,306,0.05,4096,1450.909091,145.0909091,24-03-2022,http://assets.myntassets.com/v1/images/style/properties/3c3bda51fa73d8d10ae31bdf79bcbbec_images.jpg
Product 818C3,Group A,Type Y,Franchise A,M,0.1,200000,547.9452055,Country C,Channel Y,30,258,0.1,2716,196.3636364,19.63636364,05-08-2022,http://assets.myntassets.com/v1/images/style/properties/Red-Rose-Women-Multi-Coloured-Nightdress_1840ce19b4541c7604f4f8fd6ac52851_images.jpg
Product QM33R,Group A,Type Z,Franchise A,M,0.1,300000,821.9178082,Country A,Channel Y,20,295,0.1,3310,736.3636364,73.63636364,13-08-2022,http://assets.myntassets.com/v1/images/style/properties/7a836f47882f7c46bb2c5a820cdab4e2_images.jpg
Product 1NOP0,Group B,Type X,Franchise B,M,0.2,200000,547.9452055,Country B,Channel Z,30,317,0.1,4309,1507.5,301.5,26-03-2022,http://assets.myntassets.com/v1/images/style/properties/a534fc3afe0802b1a9d84e28a34104aa_images.jpg
Product VCGXM,Group A,Type Z,Franchise A,M,0.3,100000,273.9726027,Country A,Channel X,10,305,0.1,2995,380.7692308,114.2307692,17-08-2022,http://assets.myntassets.com/assets/images/56081/2019/1/11/466b556f-c4cb-4962-b574-538e50f674f01547191992642-Colorbar-Clear-Glaze-Star-Shine-Lip-Gloss-015-63515471919925-1.jpg
Product 87N4C,Group C,Type X,Franchise C,M,0.3,200000,547.9452055,Country C,Channel Z,20,325,0.05,3925,1096.153846,328.8461538,02-08-2022,http://assets.myntassets.com/v1/images/style/properties/23f6753b846c171aedf5bdefb698788c_images.jpg
Product PX6ST,Group A,Type Y,Franchise C,M,0.1,200000,547.9452055,Country C,Channel Y,10,261,0.05,2604.5,95,9.5,25-09-2022,http://assets.myntassets.com/v1/images/style/properties/9e6734638199831640f4ff2252b5e086_images.jpg
Product A3YCQ,Group B,Type X,Franchise B,M,0.1,100000,273.9726027,Country A,Channel X,20,330,0.1,3940,1309.090909,130.9090909,23-01-2022,http://assets.myntassets.com/v1/images/style/properties/Nautica-Men-Black-Dial-Chronograph-Watch_3f9cd1e7c5ddd29835538e9e8f4b5f11_images.jpg
Product OF8YO,Group C,Type Y,Franchise C,M,0.2,100000,273.9726027,Country C,Channel Z,20,346,0.15,4132,1360,272,24-09-2022,http://assets.myntassets.com/v1/images/style/properties/Baggit-Women-Purple-Wallet_20cb9029012b8c024a5b234fc329c17a_images.jpg
Product 9XOVP,Group B,Type Z,Franchise C,M,0.1,100000,273.9726027,Country B,Channel Y,30,326,0.05,4666,1969.090909,196.9090909,01-10-2022,http://assets.myntassets.com/v1/images/style/properties/6b0428362c6d9aa40e7013007399fe33_images.jpg
Product PQJ40,Group C,Type X,Franchise A,M,0.2,200000,547.9452055,Country A,Channel Y,10,255,0.15,2542.5,35.41666667,7.083333333,11-07-2022,http://assets.myntassets.com/v1/images/style/properties/Elle-Women-Peach-T-shirt_71c8222d439f1e4915655a796e696620_images.jpg
Product AMXX0,Group A,Type Z,Franchise C,M,0.2,300000,821.9178082,Country A,Channel Y,20,297,0.15,3299,665.8333333,133.1666667,16-06-2022,http://assets.myntassets.com/v1/images/style/properties/Wildcraft-Unisex-Alfa-Grey-Backpack_2a67e998dbf046001455f7113c0875e4_images.jpg
Product LFGJ7,Group B,Type X,Franchise A,M,0.2,200000,547.9452055,Country A,Channel Y,30,294,0.1,3688,990,198,21-12-2022,http://assets.myntassets.com/v1/images/style/properties/Reid---Taylor-Men-Ties_4f686b525ff724979c1aec6e2349009d_images.jpg
Product 2GZ1S,Group A,Type Y,Franchise C,M,0.2,100000,273.9726027,Country B,Channel Z,30,251,0.15,2525.5,21.25,4.25,04-02-2022,http://assets.myntassets.com/v1/images/style/properties/bbdb227514bbad61c52c463df7e226eb_images.jpg
Product T21CG,Group C,Type Z,Franchise B,M,0.2,300000,821.9178082,Country B,Channel Z,20,340,0.1,4120,1350,270,15-07-2022,http://assets.myntassets.com/v1/images/style/properties/6dd86b77a702ba1fef78823760d5ee98_images.jpg
Product 9LEMO,Group C,Type Y,Franchise A,M,0.1,100000,273.9726027,Country A,Channel Z,10,335,0.15,3222.5,656.8181818,65.68181818,23-10-2022,http://assets.myntassets.com/v1/images/style/properties/2559e1706228f9c13be112a9636356f3_images.jpg
Product WV6P7,Group A,Type Z,Franchise A,M,0.3,100000,273.9726027,Country B,Channel Y,20,347,0.05,4343,1417.692308,425.3076923,12-07-2022,http://assets.myntassets.com/v1/images/style/properties/dcced8bde620652693f071e6f96449dd_images.jpg
Product U17NA,Group C,Type X,Franchise A,M,0.1,200000,547.9452055,Country B,Channel Z,10,307,0.15,2984.5,440.4545455,44.04545455,28-09-2022,http://assets.myntassets.com/v1/images/style/properties/Lotto-Men-Red-Flip-Flops_504feb7f72ee222980ee2e6e3526e80a_images.jpg
Product PII0G,Group C,Type Y,Franchise C,M,0.2,200000,547.9452055,Country B,Channel X,20,336,0.15,3962,1218.333333,243.6666667,27-04-2022,http://assets.myntassets.com/v1/images/style/properties/ae6a2c82de0be9d6ae99e34448475cd8_images.jpg
Product N9MYE,Group C,Type X,Franchise C,M,0.2,100000,273.9726027,Country C,Channel Y,20,315,0.05,3735,1029.166667,205.8333333,05-02-2022,http://assets.myntassets.com/v1/images/style/properties/6289625bc00fac27a8ed28ac43f6eae1_images.jpg
Product TV3VO,Group A,Type Y,Franchise C,M,0.1,100000,273.9726027,Country A,Channel X,30,272,0.05,3127,570,57,31-10-2022,http://assets.myntassets.com/v1/images/style/properties/ded067986263b12388bf1b64b9f65218_images.jpg
Product YHH7M,Group B,Type Y,Franchise A,M,0.1,200000,547.9452055,Country B,Channel X,20,337,0.15,3979,1344.545455,134.4545455,09-12-2022,http://assets.myntassets.com/v1/images/style/properties/25f569be008b9c90a5d443938e56ce58_images.jpg
Product P0WMM,Group A,Type X,Franchise A,M,0.3,100000,273.9726027,Country B,Channel Z,20,339,0.05,4191,1300.769231,390.2307692,11-07-2022,http://assets.myntassets.com/v1/images/style/properties/Amante-Pink-Floral-Romance-Bra_abf5da481b8fd97a5ec9ab1df315df2d_images.jpg
Product 5ZZNR,Group C,Type Y,Franchise A,M,0.3,100000,273.9726027,Country B,Channel Z,20,334,0.05,4096,1227.692308,368.3076923,17-03-2022,http://assets.myntassets.com/v1/images/style/properties/dccf9c143854a21950e9a428b1831876_images.jpg
Product QF9M2,Group C,Type Z,Franchise B,M,0.3,200000,547.9452055,Country B,Channel Y,30,322,0.1,4444,1495.384615,448.6153846,29-04-2022,http://assets.myntassets.com/v1/images/style/properties/4c6e51ca52a1ff16ca042985ff969f44_images.jpg
Product 4F3YN,Group B,Type Y,Franchise C,M,0.3,200000,547.9452055,Country A,Channel Y,30,321,0.15,4310.5,1392.692308,417.8076923,13-06-2022,http://assets.myntassets.com/v1/images/style/properties/5e389ac3f00d87165afe8e2afae2cf6e_images.jpg
Product U2EFX,Group B,Type X,Franchise C,M,0.1,300000,821.9178082,Country A,Channel X,10,268,0.15,2653,139.0909091,13.90909091,06-01-2022,http://assets.myntassets.com/v1/images/style/properties/beb6f4417ce5e68c7b1d0318525160f6_images.jpg
Product I2R7Y,Group A,Type X,Franchise B,M,0.3,100000,273.9726027,Country A,Channel Z,30,288,0.15,3469,745.3846154,223.6153846,22-03-2022,http://assets.myntassets.com/v1/images/style/properties/5524f9df9c8501908b2dc609f166545b_images.jpg
Product 4L6RD,Group A,Type X,Franchise A,M,0.2,100000,273.9726027,Country A,Channel Z,30,304,0.05,4039,1282.5,256.5,19-07-2022,http://assets.myntassets.com/v1/images/style/properties/d739ac6b6030b6ff6595dd9a15934fb9_images.jpg
Product SS4FW,Group A,Type Z,Franchise B,M,0.3,200000,547.9452055,Country C,Channel X,20,323,0.15,3741,954.6153846,286.3846154,23-12-2022,http://assets.myntassets.com/v1/images/style/properties/7a783e9ebd2a7dd7e068ab1bd2badf4b_images.jpg
Product Y1KOM,Group B,Type Z,Franchise C,M,0.3,300000,821.9178082,Country C,Channel X,20,344,0.05,4286,1373.846154,412.1538462,04-08-2022,http://assets.myntassets.com/v1/images/style/properties/Revlon-Raspberry-Colorburst-Lipstick-045_761d846fc706253da28593938b9acd76_images.jpg
Product JR9PZ,Group A,Type X,Franchise C,M,0.2,200000,547.9452055,Country B,Channel X,20,257,0.15,2619,99.16666667,19.83333333,27-01-2022,http://assets.myntassets.com/v1/images/style/properties/36ebf714854d0509d15c881e2bccc4f1_images.jpg
Product HEHUT,Group B,Type Y,Franchise B,M,0.3,200000,547.9452055,Country C,Channel X,20,251,0.15,2517,13.07692308,3.923076923,09-11-2022,http://assets.myntassets.com/v1/images/style/properties/1a925d00403aaec9fb6aa68e6795bf22_images.jpg
Product 4ZPDI,Group C,Type X,Franchise C,M,0.3,300000,821.9178082,Country B,Channel X,10,334,0.05,3298,613.8461538,184.1538462,08-04-2022,http://assets.myntassets.com/v1/images/style/properties/bb7e45c6483b9a37f921ca73048cd116_images.jpg
Product 59O2E,Group C,Type Y,Franchise A,M,0.2,200000,547.9452055,Country A,Channel Y,10,261,0.1,2599,82.5,16.5,28-05-2022,http://assets.myntassets.com/v1/images/style/properties/eb36b446304d9a69210caef56a8d6c89_images.jpg
Product NQ3L4,Group B,Type X,Franchise B,M,0.2,100000,273.9726027,Country B,Channel Z,10,298,0.1,2932,360,72,09-05-2022,http://assets.myntassets.com/v1/images/style/properties/cb7c67d2f4c52348332af9295125d830_images.jpg
Product AW8BN,Group C,Type Y,Franchise B,M,0.3,200000,547.9452055,Country A,Channel Y,30,327,0.1,4579,1599.230769,479.7692308,09-08-2022,http://assets.myntassets.com/v1/images/style/properties/f0555f1f2db9d61cc086d1ec2f92a5f2_images.jpg
Product 80ATU,Group B,Type Z,Franchise B,M,0.3,200000,547.9452055,Country C,Channel X,30,286,0.05,3526,789.2307692,236.7692308,20-12-2022,http://assets.myntassets.com/v1/images/style/properties/ab58705a7b21cd922a51d4186dd0e8f1_images.jpg
Product FM0BF,Group A,Type Y,Franchise C,M,0.2,100000,273.9726027,Country B,Channel X,30,256,0.15,2653,127.5,25.5,22-11-2022,http://assets.myntassets.com/v1/images/style/properties/1b04d776cc24c2f7c39fda330774ce91_images.jpg
Product P29PY,Group B,Type Z,Franchise B,M,0.2,100000,273.9726027,Country B,Channel X,20,329,0.05,4001,1250.833333,250.1666667,10-01-2022,http://assets.myntassets.com/v1/images/style/properties/3ed85b72dba8c6b6c174ad3512ea288b_images.jpg
Product 2FX7S,Group B,Type Y,Franchise B,M,0.2,300000,821.9178082,Country B,Channel X,20,334,0.05,4096,1330,266,13-12-2022,http://assets.myntassets.com/v1/images/style/properties/Shree-Women-Yellow-and-Red-Salwar-Suit_6f691788b6a55f43259a1007391958d7_images.jpg
Product A7HFZ,Group C,Type X,Franchise C,M,0.2,100000,273.9726027,Country C,Channel Y,30,266,0.05,2956,380,76,04-02-2022,http://assets.myntassets.com/v1/images/style/properties/2951bee1f04a4a11aae2d19bb171c1b4_images.jpg
Product 74CO2,Group C,Type Y,Franchise B,M,0.1,200000,547.9452055,Country C,Channel Z,20,338,0.15,3996,1360,136,09-04-2022,http://assets.myntassets.com/v1/images/style/properties/6ac94cb4a8231ceb2ad3781e5955caea_images.jpg
Product ES169,Group B,Type Y,Franchise B,M,0.2,300000,821.9178082,Country B,Channel X,30,272,0.05,3127,522.5,104.5,25-06-2022,http://assets.myntassets.com/v1/images/style/properties/d05ca6d97f2d0df4e5159eb85a02da38_images.jpg
Product FR0Q8,Group C,Type Y,Franchise A,M,0.1,300000,821.9178082,Country C,Channel Z,20,270,0.1,2860,327.2727273,32.72727273,04-11-2022,http://assets.myntassets.com/v1/images/style/properties/d966c754e9392b5f0393301828c71f91_images.jpg
Product CDYVS,Group C,Type Y,Franchise B,M,0.3,200000,547.9452055,Country B,Channel Z,20,331,0.05,4039,1183.846154,355.1538462,26-05-2022,http://assets.myntassets.com/v1/images/style/properties/e128f17c7a01b1478604f96915dc408b_images.jpg
Product 6N75S,Group B,Type Z,Franchise C,M,0.2,100000,273.9726027,Country B,Channel Z,30,266,0.1,2932,360,72,16-03-2022,http://assets.myntassets.com/v1/images/style/properties/98b297b06222d23c1121a0a61182db53_images.jpg
Product CPLZT,Group B,Type Y,Franchise A,M,0.1,100000,273.9726027,Country C,Channel Z,20,287,0.15,3129,571.8181818,57.18181818,23-01-2022,http://assets.myntassets.com/v1/images/style/properties/0632fefed262f175c3827c06fb6586e8_images.jpg
Product 1ZNF5,Group A,Type Z,Franchise A,M,0.1,100000,273.9726027,Country B,Channel X,10,275,0.1,2725,204.5454545,20.45454545,03-11-2022,http://assets.myntassets.com/v1/images/style/properties/8054cd27c0e8b8830df7659d40501ea4_images.jpg
Product NSQ5E,Group C,Type Y,Franchise C,M,0.3,200000,547.9452055,Country C,Channel Z,20,252,0.1,2536,27.69230769,8.307692308,27-07-2022,http://assets.myntassets.com/v1/images/style/properties/585bea4d854d289f5dd0a383abb4d63a_images.jpg
Product CPVU5,Group B,Type X,Franchise C,M,0.2,100000,273.9726027,Country C,Channel Y,10,266,0.15,2636,113.3333333,22.66666667,01-01-2023,http://assets.myntassets.com/v1/image/style/properties/17445/Casio-Men-Analog-Black-Watch_1_88f9b05ab892166ce893fddf2ccadb0e.jpg
Product DD641,Group B,Type Z,Franchise A,M,0.3,200000,547.9452055,Country C,Channel Z,10,317,0.05,3136.5,489.6153846,146.8846154,25-08-2022,http://assets.myntassets.com/v1/images/style/properties/Vishudh-Women-Printed-White-Salwar-and-Dupatta_69ab4912f17b4d1b0e3eec34f8c4199b_images.jpg
Product QVCAX,Group C,Type Z,Franchise A,M,0.3,200000,547.9452055,Country A,Channel Y,30,281,0.15,3290.5,608.0769231,182.4230769,31-05-2022,http://assets.myntassets.com/v1/images/style/properties/04c48eec2ed30dece0bc98ded82c1bbb_images.jpg
Product W659Q,Group C,Type Z,Franchise C,M,0.3,100000,273.9726027,Country C,Channel Z,10,347,0.1,3373,671.5384615,201.4615385,04-02-2022,http://assets.myntassets.com/v1/images/style/properties/Fastrack-Men-Sunglasses612d3aa75a422a922d5c44938c22353a_images.jpg
Product OOW2V,Group B,Type X,Franchise B,M,0.2,300000,821.9178082,Country C,Channel X,10,302,0.15,2942,368.3333333,73.66666667,13-09-2022,http://assets.myntassets.com/v1/images/style/properties/John-Players-Men-Navy-Regular-Fit-Jeans_1ed5b6055e71ade5f7fd9f28d7a2b3df_images.jpg
Product 7T1PK,Group C,Type Y,Franchise B,M,0.3,300000,821.9178082,Country A,Channel Z,20,269,0.05,2861,277.6923077,83.30769231,16-11-2022,http://assets.myntassets.com/v1/images/style/properties/c00babbea256a3569ff5644b73e5bc18_images.jpg
Product 265UA,Group A,Type Y,Franchise A,M,0.2,100000,273.9726027,Country C,Channel X,30,313,0.05,4295.5,1496.25,299.25,05-09-2022,http://assets.myntassets.com/v1/images/style/properties/38b54d2fd34312785fd069bdb6c35f2a_images.jpg
Product GD49O,Group B,Type Y,Franchise A,M,0.1,300000,821.9178082,Country C,Channel Y,20,342,0.1,4156,1505.454545,150.5454545,22-08-2022,http://assets.myntassets.com/v1/images/style/properties/8de59a9c5e2b78d68c9b5c683afb3b0b_images.jpg
Product LSWOD,Group B,Type Y,Franchise A,M,0.3,300000,821.9178082,Country C,Channel Y,20,310,0.05,3640,876.9230769,263.0769231,02-09-2022,http://assets.myntassets.com/v1/images/style/properties/763f9e470bd759e5a6590f9fdfb997c1_images.jpg
Product 76HFE,Group C,Type X,Franchise C,M,0.3,300000,821.9178082,Country A,Channel Z,20,280,0.05,3070,438.4615385,131.5384615,19-02-2022,http://assets.myntassets.com/v1/image/style/properties/53507/Amante-Skin-Colour-Comfort-Bra-BFOM12_1_fcbc61e5b4a414c26f44ed2e68b2f69f.jpg
Product SGHDO,Group C,Type Z,Franchise C,M,0.2,300000,821.9178082,Country A,Channel Z,10,341,0.1,3319,682.5,136.5,22-02-2022,http://assets.myntassets.com/v1/images/style/properties/Skechers-Mens-Midnight-Choco-Shoe_04bfd375a9dc8a3ddcf8d4a61604681d_images.jpg
Product QOJB1,Group B,Type Z,Franchise C,M,0.3,200000,547.9452055,Country A,Channel Y,30,342,0.1,4984,1910.769231,573.2307692,30-03-2022,http://assets.myntassets.com/assets/images/56075/2019/1/11/7f89b359-9a77-4600-9cdd-e50630d5c6591547191817559-Colorbar-Plum-Lip-LinerCrayon-004-2331547191817529-1.jpg
Product YTF27,Group A,Type Y,Franchise A,M,0.2,200000,547.9452055,Country B,Channel Z,30,306,0.1,4012,1260,252,05-03-2022,http://assets.myntassets.com/v1/images/style/properties/eb8cca2bd058b7d4cb676ef301d60f73_images.jpg
Product DS25H,Group C,Type Y,Franchise B,M,0.2,100000,273.9726027,Country A,Channel Z,20,338,0.05,4172,1393.333333,278.6666667,04-08-2022,http://assets.myntassets.com/v1/images/style/properties/Tonino-Lamborghini-Men-Pack-of-2-Deos_ad97a98d9ca7591ef798d3202842bf31_images.jpg
Product I9ZVV,Group B,Type Z,Franchise C,M,0.3,300000,821.9178082,Country C,Channel Y,20,346,0.15,4132,1255.384615,376.6153846,10-08-2022,http://assets.myntassets.com/v1/images/style/properties/c612aa668342cfc8ec15990dc0bf9852_images.jpg
Product N294K,Group A,Type X,Franchise B,M,0.1,100000,273.9726027,Country A,Channel Y,30,317,0.1,4309,1644.545455,164.4545455,06-06-2022,http://assets.myntassets.com/v1/images/style/properties/ef7b2fd109231d01262e4c595dd3f870_images.jpg
Product 86VUD,Group C,Type X,Franchise C,M,0.1,100000,273.9726027,Country A,Channel Z,10,298,0.1,2932,392.7272727,39.27272727,17-02-2022,http://assets.myntassets.com/v1/images/style/properties/0f1831a32cc338697d090f0d05d85b8c_images.jpg
Product WCGOX,Group A,Type X,Franchise B,M,0.2,300000,821.9178082,Country C,Channel X,30,273,0.15,3086.5,488.75,97.75,21-02-2022,http://assets.myntassets.com/v1/images/style/properties/5bb60b5d46b44d901498cce84ad57ee7_images.jpg
Product KT5V2,Group A,Type X,Franchise A,M,0.3,100000,273.9726027,Country A,Channel X,10,274,0.15,2704,156.9230769,47.07692308,28-04-2022,http://assets.myntassets.com/v1/images/style/properties/9a2f2d364f3e62c3e50e844420e601d7_images.jpg
Product 1D9YF,Group B,Type Z,Franchise A,M,0.3,100000,273.9726027,Country B,Channel Y,20,320,0.1,3760,969.2307692,290.7692308,03-10-2022,http://assets.myntassets.com/v1/images/style/properties/02e75f751ca7d599f0187051c4fde10e_images.jpg
Product QIRV3,Group A,Type Z,Franchise B,M,0.3,300000,821.9178082,Country B,Channel Z,30,264,0.15,2857,274.6153846,82.38461538,20-02-2022,http://assets.myntassets.com/v1/images/style/properties/Park-Avenue-Men-Black-Trunks_5499d20f4337b9d78d4e1e45066516da_images.jpg
Product 7ZQPI,Group B,Type Z,Franchise A,M,0.1,200000,547.9452055,Country A,Channel X,10,255,0.1,2545,40.90909091,4.090909091,21-11-2022,http://assets.myntassets.com/v1/images/style/properties/7d8732d78a1af4ef6482bbad516358dd_images.jpg
Product K3BJD,Group B,Type Z,Franchise A,M,0.3,200000,547.9452055,Country B,Channel Y,10,288,0.15,2823,248.4615385,74.53846154,07-05-2022,http://assets.myntassets.com/v1/images/style/properties/Puma-Men-Brown-Vintage-Ferrari-Casual-Shoes_b9fd2ef51fa25279915165c5df88154b_images.jpg
Product KWIDD,Group C,Type X,Franchise C,M,0.3,300000,821.9178082,Country B,Channel Y,30,313,0.1,4201,1308.461538,392.5384615,07-04-2022,http://assets.myntassets.com/v1/images/style/properties/8dcbc30396d86878c172a8b095ac6785_images.jpg
Product 69ZQH,Group B,Type Z,Franchise C,M,0.2,300000,821.9178082,Country C,Channel Z,20,332,0.15,3894,1161.666667,232.3333333,22-08-2022,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Men-Grey---Blue-Pyjama-Set_9b43461107b1d79b9b84ef317aef4afe_images.jpg
Product 1QHFR,Group B,Type X,Franchise B,M,0.3,200000,547.9452055,Country A,Channel X,30,275,0.05,3212.5,548.0769231,164.4230769,07-10-2022,http://assets.myntassets.com/v1/images/style/properties/Amante-Women-Black---Beige-Lace-Collection-Brief_1a3b324995cf02c42673a7600705dfa2_images.jpg
Product B4Z76,Group A,Type Z,Franchise C,M,0.2,200000,547.9452055,Country A,Channel Y,20,306,0.1,3508,840,168,27-08-2022,http://assets.myntassets.com/v1/images/style/properties/3ec431e00f610d380df98f3a992cd3ea_images.jpg
Product 8VG9C,Group B,Type Z,Franchise A,M,0.3,300000,821.9178082,Country B,Channel X,30,311,0.15,4055.5,1196.538462,358.9615385,15-10-2022,http://assets.myntassets.com/v1/images/style/properties/f277dbded1640eaa4ca85c4b8d4ca101_images.jpg
Product 1IRTN,Group B,Type Y,Franchise C,M,0.1,100000,273.9726027,Country A,Channel X,10,265,0.05,2642.5,129.5454545,12.95454545,12-10-2022,http://assets.myntassets.com/v1/images/style/properties/9bae35b37e764f258197894551f4f876_images.jpg
Product 7U853,Group A,Type X,Franchise B,M,0.3,300000,821.9178082,Country B,Channel X,10,270,0.15,2670,130.7692308,39.23076923,24-06-2022,http://assets.myntassets.com/v1/images/style/properties/ece8a47407fece07bda02acc0317119c_images.jpg
Product XBWDR,Group A,Type Z,Franchise C,M,0.2,200000,547.9452055,Country A,Channel Z,30,349,0.15,5024.5,2103.75,420.75,25-02-2022,http://assets.myntassets.com/v1/images/style/properties/b0d00b78c7183539ddf674ad68456e00_images.jpg
Product JYT6C,Group A,Type Z,Franchise A,M,0.3,100000,273.9726027,Country C,Channel Z,20,257,0.15,2619,91.53846154,27.46153846,14-12-2022,http://assets.myntassets.com/v1/images/style/properties/75e6814cb61b23fd6aa71c7c7e621a54_images.jpg
Product DYTTN,Group A,Type Z,Franchise A,M,0.1,200000,547.9452055,Country A,Channel Y,10,305,0.05,3022.5,475,47.5,18-07-2022,http://assets.myntassets.com/v1/images/style/properties/0703333e07a06c50753acd0d0ca437ad_images.jpg
Product H437T,Group B,Type X,Franchise C,M,0.2,100000,273.9726027,Country B,Channel X,20,349,0.1,4282,1485,297,06-11-2022,http://assets.myntassets.com/v1/images/style/properties/Lino-Perros-Women-Brown-Handbag_14006277bd404074924c0c048165d3cf_images.jpg
Product 1FEEG,Group B,Type Y,Franchise C,M,0.3,300000,821.9178082,Country B,Channel Z,30,345,0.15,4922.5,1863.461538,559.0384615,06-07-2022,http://assets.myntassets.com/v1/images/style/properties/fb0c64ff2e4b1a40c3423c61c1d57688_images.jpg
Product 8GIMR,Group C,Type X,Franchise C,M,0.3,300000,821.9178082,Country C,Channel Z,20,325,0.05,3925,1096.153846,328.8461538,10-02-2022,http://assets.myntassets.com/v1/images/style/properties/a59dbbdd22bd878947c7cc9373894b75_images.jpg
Product HXSUT,Group B,Type X,Franchise C,M,0.2,300000,821.9178082,Country B,Channel Z,30,290,0.15,3520,850,170,28-03-2022,http://assets.myntassets.com/v1/images/style/properties/Status-Quo-Mens-Music-Revolution-Green-T-shirt_872caf1ab9ce5347adb877de5b34902c_images.jpg
Product R1XKM,Group C,Type Z,Franchise A,M,0.3,100000,273.9726027,Country A,Channel Y,30,278,0.05,3298,613.8461538,184.1538462,12-01-2022,http://assets.myntassets.com/v1/images/style/properties/Cabarelli-Men-Accessory-Gift-Set_89274f2800d9e60be3b3d1fed262d14a_images.jpg
Product 3BEUE,Group A,Type X,Franchise C,M,0.2,300000,821.9178082,Country B,Channel X,30,294,0.15,3622,935,187,13-11-2022,http://assets.myntassets.com/v1/images/style/properties/53e38e41bb93f3043ff1e7735c605f2d_images.jpg
Product DO258,Group C,Type Y,Franchise C,M,0.3,100000,273.9726027,Country C,Channel Y,20,343,0.05,4267,1359.230769,407.7692308,15-03-2022,http://assets.myntassets.com/v1/images/style/properties/511213b065660f007e9d573d1fb58537_images.jpg
Product Y2EN9,Group C,Type X,Franchise C,M,0.2,200000,547.9452055,Country A,Channel Z,20,299,0.15,3333,694.1666667,138.8333333,18-09-2022,http://assets.myntassets.com/v1/images/style/properties/c1ec8b8061a960519b66f3ff41d406f1_images.jpg
Product 9BENH,Group C,Type X,Franchise B,M,0.2,300000,821.9178082,Country A,Channel X,30,276,0.15,3163,552.5,110.5,25-09-2022,http://assets.myntassets.com/v1/images/style/properties/bd11953c3b9558def5a473f1618f0024_images.jpg
Product YFCZE,Group B,Type Z,Franchise C,M,0.1,100000,273.9726027,Country A,Channel Y,10,335,0.05,3307.5,734.0909091,73.40909091,16-12-2022,http://assets.myntassets.com/v1/images/style/properties/a7233b8d68f96fcb45f6f438a6549ea8_images.jpg
Product VTXDF,Group A,Type X,Franchise B,M,0.2,100000,273.9726027,Country B,Channel Z,20,278,0.05,3032,443.3333333,88.66666667,27-11-2022,http://assets.myntassets.com/v1/images/style/properties/83c62173527ba1a605d126f07f31538e_images.jpg
Product P6S1A,Group B,Type Y,Franchise C,M,0.3,200000,547.9452055,Country B,Channel Y,10,319,0.15,3086.5,451.1538462,135.3461538,25-11-2022,http://assets.myntassets.com/v1/images/style/properties/e049a003fb6a4def8cce97f6ff7e0cc7_images.jpg
Product CEX1J,Group C,Type X,Franchise B,M,0.1,200000,547.9452055,Country B,Channel X,30,335,0.05,4922.5,2202.272727,220.2272727,06-04-2022,http://assets.myntassets.com/v1/images/style/properties/c40a47808b4f1f9d993743a572881a5d_images.jpg
Product WB6E2,Group A,Type X,Franchise B,M,0.1,200000,547.9452055,Country A,Channel Z,10,329,0.1,3211,646.3636364,64.63636364,17-09-2022,http://assets.myntassets.com/v1/images/style/properties/7f46e61a64650eab8464bdbb5f8349a9_images.jpg
